Source;Target;Type;weight
WESLEYAN UNIVERSITY;REV INT ORGAN;directed;1
WEIZENBAURN INST NETWORKED SOC;COMMON MKT LAW REV;directed;1
WASHINGTON UNIVERSITY (WUSTL);J PEACE RES;directed;3
WASHINGTON UNIVERSITY (WUSTL);ASIAN J WTO INT HEAL;directed;1
WASEDA UNIVERSITY;J PEACE RES;directed;1
WASEDA UNIVERSITY;J CURR SE ASIAN AFF;directed;1
WALAILAK UNIVERSITY;CONTEMP SE ASIA;directed;1
WAKE FOREST UNIVERSITY;J INT RELAT DEV ;directed;1
WAGENINGEN UNIVERSITY & RESEARCH;COMMON MKT LAW REV;directed;1
VRIJE UNIVERSITEIT BRUSSEL;CONTEMP SECUR POL;directed;1
VRIJE UNIVERSITEIT BRUSSEL;J PEACE RES;directed;1
VRIJE UNIVERSITEIT BRUSSEL;CHIN J INT POLIT;directed;1
VRIJE UNIVERSITEIT BRUSSEL;COMMON MKT LAW REV;directed;1
VRIJE UNIVERSITEIT AMSTERDAM;CONTEMP SECUR POL;directed;1
VRIJE UNIVERSITEIT AMSTERDAM;COMMON MKT LAW REV;directed;2
VRIJE UNIVERSITEIT AMSTERDAM;ASIAN PERSPECT-SEOUL;directed;1
VISTULA UNIVERSITY;J CURR SE ASIAN AFF;directed;1
VISTULA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
VILNIUS UNIVERSITY;INT J-TORONTO;directed;1
VILLANOVA UNIVERSITY;REV INT ORGAN;directed;4
VILLANOVA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
VIETNAM NATIONAL UNIVERSITY OF AGRICULTURE (VNUA);ASIAN PERSPECT-SEOUL;directed;1
VIENNA UNIVERSITY OF ECONOMICS & BUSINESS;COMMON MKT LAW REV;directed;2
VIENNA SCH INT STUDIES;J INT RELAT DEV ;directed;1
VICTORIA UNIVERSITY WELLINGTON;AUST J INT AFF;directed;3
VICTORIA UNIVERSITY WELLINGTON;CONTEMP SE ASIA;directed;2
VICTORIA UNIVERSITY WELLINGTON;ASIAN PERSPECT-SEOUL;directed;1
VANDERBILT UNIVERSITY;J PEACE RES;directed;1
UTAH SYSTEM OF HIGHER EDUCATION;J PEACE RES;directed;3
UTAH SYSTEM OF HIGHER EDUCATION;CHIN J INT POLIT;directed;1
UTAH SYSTEM OF HIGHER EDUCATION;J INT RELAT DEV ;directed;1
USAK UNIVERSITY;ULUSLAR ILISKILER;directed;1
US STATE DEPT;ASIAN PERSPECT-SEOUL;directed;1
US NAVAL WAR COLL;J PEACE RES;directed;1
US MARINE CORPS WAR COLL;ASIAN PERSPECT-SEOUL;directed;1
US ARMY;J PEACE RES;directed;1
URSINUS COLL;J PEACE RES;directed;1
UPPSALA UNIVERSITY;J PEACE RES;directed;15
UPPSALA UNIVERSITY;COMMON MKT LAW REV;directed;2
UPPSALA UNIVERSITY;J INT RELAT DEV ;directed;2
UPPSALA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY SYSTEM OF MARYLAND;J PEACE RES;directed;6
UNIVERSITY SYSTEM OF GEORGIA;CONTEMP SECUR POL;directed;1
UNIVERSITY SYSTEM OF GEORGIA;REV INT ORGAN;directed;1
UNIVERSITY SYSTEM OF GEORGIA;J PEACE RES;directed;3
UNIVERSITY SYSTEM OF GEORGIA;J INT RELAT DEV ;directed;3
UNIVERSITY SAINT-LOUIS - BRUXELLES;COMMON MKT LAW REV;directed;1
UNIVERSITY OSNABRUCK;J PEACE RES;directed;3
UNIVERSITY OSNABRUCK;J INT RELAT DEV ;directed;2
UNIVERSITY OF YORK - UK;CONTEMP SECUR POL;directed;1
UNIVERSITY OF YORK - UK;COMMON MKT LAW REV;directed;5
UNIVERSITY OF YORK - UK;J INT RELAT DEV ;directed;1
UNIVERSITY OF WROCLAW;COMMON MKT LAW REV;directed;4
UNIVERSITY OF WOLLONGONG;CONTEMP SECUR POL;directed;1
UNIVERSITY OF WOLLONGONG;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF WOLLONGONG;AUST J INT AFF;directed;2
UNIVERSITY OF WOLLONGONG;CONTEMP SE ASIA;directed;2
UNIVERSITY OF WITWATERSRAND;REV BRAS POLIT INT;directed;1
UNIVERSITY OF WISCONSIN SYSTEM;REV INT ORGAN;directed;2
UNIVERSITY OF WISCONSIN SYSTEM;J PEACE RES;directed;2
UNIVERSITY OF WISCONSIN SYSTEM;CONTEMP SE ASIA;directed;1
UNIVERSITY OF WINNIPEG;AUST J INT AFF;directed;1
UNIVERSITY OF WINNIPEG;J INT RELAT DEV ;directed;1
UNIVERSITY OF WINDSOR;INT J-TORONTO;directed;2
UNIVERSITY OF WESTMINSTER;CONTEMP SECUR POL;directed;1
UNIVERSITY OF WESTERN AUSTRALIA;CONTEMP SECUR POL;directed;1
UNIVERSITY OF WESTERN AUSTRALIA;J PEACE RES;directed;1
UNIVERSITY OF WESTERN AUSTRALIA;AUST J INT AFF;directed;4
UNIVERSITY OF WESTERN AUSTRALIA;J INT RELAT DEV ;directed;1
UNIVERSITY OF WESTERN AUSTRALIA;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF WESTERN AUSTRALIA;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF WEST SCOTLAND;REV BRAS POLIT INT;directed;1
UNIVERSITY OF WATERLOO;REV INT ORGAN;directed;1
UNIVERSITY OF WATERLOO;INT J-TORONTO;directed;5
UNIVERSITY OF WASHINGTON;J PEACE RES;directed;2
UNIVERSITY OF WASHINGTON;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF WARWICK;REV INT ORGAN;directed;1
UNIVERSITY OF WARWICK;J PEACE RES;directed;4
UNIVERSITY OF WARWICK;CHIN J INT POLIT;directed;1
UNIVERSITY OF WARWICK;INT J-TORONTO;directed;1
UNIVERSITY OF WARWICK;ASIAN PERSPECT-SEOUL;directed;3
UNIVERSITY OF WARSAW;CHIN J INT POLIT;directed;2
UNIVERSITY OF WAIKATO;AUST J INT AFF;directed;1
UNIVERSITY OF VIRGINIA;INT J-TORONTO;directed;1
UNIVERSITY OF VIENNA;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF VICTORIA;INT J-TORONTO;directed;3
UNIVERSITY OF VICTORIA;J INT RELAT DEV ;directed;1
UNIVERSITY OF TURKU;COMMON MKT LAW REV;directed;1
UNIVERSITY OF TURIN;J PEACE RES;directed;1
UNIVERSITY OF TURIN;COMMON MKT LAW REV;directed;1
UNIVERSITY OF TRIESTE;COMMON MKT LAW REV;directed;1
UNIVERSITY OF TRENTO;J INT RELAT DEV ;directed;1
UNIVERSITY OF TORONTO;REV INT ORGAN;directed;2
UNIVERSITY OF TORONTO;J PEACE RES;directed;1
UNIVERSITY OF TORONTO;INT J-TORONTO;directed;18
UNIVERSITY OF TORONTO;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF TOKYO;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF TOKYO;AUST J INT AFF;directed;1
UNIVERSITY OF TOKYO;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF THE WESTERN CAPE;CONTEMP SECUR POL;directed;1
UNIVERSITY OF THE PHILIPPINES SYSTEM;CONTEMP SE ASIA;directed;3
UNIVERSITY OF THE PHILIPPINES SYSTEM;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF TEXAS SYSTEM;REV INT ORGAN;directed;2
UNIVERSITY OF TEXAS SYSTEM;J PEACE RES;directed;5
UNIVERSITY OF TENNESSEE SYSTEM;J PEACE RES;directed;2
UNIVERSITY OF TECHNOLOGY SYDNEY;J PEACE RES;directed;1
UNIVERSITY OF TECHNOLOGY SYDNEY;AUST J INT AFF;directed;1
UNIVERSITY OF TASMANIA;AUST J INT AFF;directed;1
UNIVERSITY OF TAMPA;J PEACE RES;directed;1
UNIVERSITY OF SYDNEY;AUST J INT AFF;directed;5
UNIVERSITY OF SYDNEY;CONTEMP SE ASIA;directed;1
UNIVERSITY OF SYDNEY;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF SUSSEX;J PEACE RES;directed;1
UNIVERSITY OF SUSSEX;REV BRAS POLIT INT;directed;1
UNIVERSITY OF SUSSEX;J INT RELAT DEV ;directed;3
UNIVERSITY OF STRATHCLYDE;J PEACE RES;directed;1
UNIVERSITY OF STRATHCLYDE;INT J-TORONTO;directed;1
UNIVERSITY OF ST GALLEN;REV INT ORGAN;directed;3
UNIVERSITY OF ST ANDREWS;CONTEMP SECUR POL;directed;1
UNIVERSITY OF ST ANDREWS;AUST J INT AFF;directed;2
UNIVERSITY OF ST ANDREWS;J INT RELAT DEV ;directed;4
UNIVERSITY OF ST ANDREWS;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF SOUTHERN DENMARK;CONTEMP SECUR POL;directed;3
UNIVERSITY OF SOUTHERN DENMARK;COMMON MKT LAW REV;directed;1
UNIVERSITY OF SOUTHERN DENMARK;J INT RELAT DEV ;directed;1
UNIVERSITY OF SOUTHERN CALIFORNIA;REV INT ORGAN;directed;2
UNIVERSITY OF SOUTHERN CALIFORNIA;J PEACE RES;directed;3
UNIVERSITY OF SOUTHERN CALIFORNIA;INT J-TORONTO;directed;2
UNIVERSITY OF SOUTHAMPTON;J INT RELAT DEV ;directed;1
UNIVERSITY OF SOUTH CAROLINA SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF SOUTH AUSTRALIA;AUST J INT AFF;directed;1
UNIVERSITY OF SHEFFIELD;CONTEMP SECUR POL;directed;1
UNIVERSITY OF SHEFFIELD;J PEACE RES;directed;1
UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY;REV BRAS POLIT INT;directed;1
UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF SASKATCHEWAN;INT J-TORONTO;directed;1
UNIVERSITY OF SAN FRANCISCO;J PEACE RES;directed;1
UNIVERSITY OF SALAMANCA;REV BRAS POLIT INT;directed;1
UNIVERSITY OF ROME TOR VERGATA;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF ROCHESTER;REV INT ORGAN;directed;1
UNIVERSITY OF READING;CONTEMP SECUR POL;directed;3
UNIVERSITY OF QUEENSLAND;INT J-TORONTO;directed;1
UNIVERSITY OF QUEENSLAND;AUST J INT AFF;directed;10
UNIVERSITY OF QUEENSLAND;CONTEMP SE ASIA;directed;1
UNIVERSITY OF QUEBEC;CONTEMP SECUR POL;directed;1
UNIVERSITY OF QUEBEC;INT J-TORONTO;directed;6
UNIVERSITY OF PUBLIC SERVICE;J INT RELAT DEV ;directed;1
UNIVERSITY OF PRETORIA;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF POTSDAM;REV INT ORGAN;directed;3
UNIVERSITY OF PIRAEUS;CHIN J INT POLIT;directed;1
UNIVERSITY OF PIRAEUS;J INT RELAT DEV ;directed;1
UNIVERSITY OF PENNSYLVANIA;CONTEMP SECUR POL;directed;1
UNIVERSITY OF PENNSYLVANIA;REV INT ORGAN;directed;2
UNIVERSITY OF PENNSYLVANIA;J PEACE RES;directed;2
UNIVERSITY OF PENNSYLVANIA;INT J-TORONTO;directed;2
UNIVERSITY OF PAVIA;COMMON MKT LAW REV;directed;1
UNIVERSITY OF PASSAU;INT J-TORONTO;directed;1
UNIVERSITY OF OTTAWA;CONTEMP SECUR POL;directed;1
UNIVERSITY OF OTTAWA;INT J-TORONTO;directed;25
UNIVERSITY OF OTTAWA;AUST J INT AFF;directed;1
UNIVERSITY OF OTTAWA;J INT RELAT DEV ;directed;1
UNIVERSITY OF OSLO;J PEACE RES;directed;3
UNIVERSITY OF OSLO;COMMON MKT LAW REV;directed;5
UNIVERSITY OF OSLO;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF OSLO;J INT RELAT DEV ;directed;2
UNIVERSITY OF OSLO;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF OREGON;REV INT ORGAN;directed;1
UNIVERSITY OF OREGON;CHIN J INT POLIT;directed;1
UNIVERSITY OF NOTTINGHAM NINGBO CHINA;J INT RELAT DEV ;directed;1
UNIVERSITY OF NOTTINGHAM MALAYSIA;CHIN J INT POLIT;directed;1
UNIVERSITY OF NOTTINGHAM;CONTEMP SECUR POL;directed;1
UNIVERSITY OF NOTRE DAME AUSTRALIA;AUST J INT AFF;directed;2
UNIVERSITY OF NOTRE DAME;J PEACE RES;directed;2
UNIVERSITY OF NORTHERN BRITISH COLUMBIA;INT J-TORONTO;directed;2
UNIVERSITY OF NORTH TEXAS SYSTEM;J PEACE RES;directed;4
UNIVERSITY OF NORTH TEXAS SYSTEM;J INT RELAT DEV ;directed;1
UNIVERSITY OF NORTH DAKOTA GRAND FORKS;J PEACE RES;directed;1
UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE;J PEACE RES;directed;1
UNIVERSITY OF NORTH CAROLINA;REV INT ORGAN;directed;3
UNIVERSITY OF NORTH CAROLINA;J PEACE RES;directed;2
UNIVERSITY OF NIGERIA;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF NEW SOUTH WALES SYDNEY;COMMON MKT LAW REV;directed;1
UNIVERSITY OF NEW SOUTH WALES SYDNEY;AUST J INT AFF;directed;8
UNIVERSITY OF NEW SOUTH WALES SYDNEY;CONTEMP SE ASIA;directed;2
UNIVERSITY OF NEUCHATEL;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF NEBRASKA SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF NAVARRA;REV INT ORGAN;directed;1
UNIVERSITY OF NAPLES FEDERICO II;REV INT ORGAN;directed;1
UNIVERSITY OF MURCIA;COMMON MKT LAW REV;directed;1
UNIVERSITY OF MUNSTER;COMMON MKT LAW REV;directed;1
UNIVERSITY OF MISSOURI SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF MISSOURI SYSTEM;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF MISSOURI SYSTEM;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF MISSISSIPPI;REV INT ORGAN;directed;1
UNIVERSITY OF MISSISSIPPI;J PEACE RES;directed;2
UNIVERSITY OF MINNESOTA SYSTEM;REV INT ORGAN;directed;1
UNIVERSITY OF MINNESOTA SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF MINNESOTA SYSTEM;AUST J INT AFF;directed;1
UNIVERSITY OF MILANO-BICOCCA;REV INT ORGAN;directed;1
UNIVERSITY OF MICHIGAN SYSTEM;REV INT ORGAN;directed;2
UNIVERSITY OF MICHIGAN SYSTEM;J PEACE RES;directed;7
UNIVERSITY OF MICHIGAN SYSTEM;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF MICHIGAN SYSTEM;CONTEMP SE ASIA;directed;2
UNIVERSITY OF MICHIGAN SYSTEM;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF MIAMI;J PEACE RES;directed;1
UNIVERSITY OF MEMPHIS;J INT RELAT DEV ;directed;1
UNIVERSITY OF MELBOURNE;REV INT ORGAN;directed;1
UNIVERSITY OF MELBOURNE;J PEACE RES;directed;2
UNIVERSITY OF MELBOURNE;AUST J INT AFF;directed;3
UNIVERSITY OF MELBOURNE;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF MASSACHUSETTS SYSTEM;REV INT ORGAN;directed;1
UNIVERSITY OF MASSACHUSETTS SYSTEM;REV BRAS POLIT INT;directed;1
UNIVERSITY OF MARIBOR;COMMON MKT LAW REV;directed;1
UNIVERSITY OF MANNHEIM;REV INT ORGAN;directed;4
UNIVERSITY OF MANNHEIM;J PEACE RES;directed;2
UNIVERSITY OF MANITOBA;INT J-TORONTO;directed;2
UNIVERSITY OF MANCHESTER;AUST J INT AFF;directed;1
UNIVERSITY OF MANCHESTER;J INT RELAT DEV ;directed;2
UNIVERSITY OF MALTA;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF MALTA;CONTEMP SE ASIA;directed;1
UNIVERSITY OF MAINE SYSTEM;CONTEMP SECUR POL;directed;1
UNIVERSITY OF MACAU;J PEACE RES;directed;1
UNIVERSITY OF MACAU;CHIN J INT POLIT;directed;1
UNIVERSITY OF LUXEMBOURG;COMMON MKT LAW REV;directed;2
UNIVERSITY OF LUXEMBOURG;J INT RELAT DEV ;directed;1
UNIVERSITY OF LUCERNE;REV INT ORGAN;directed;1
UNIVERSITY OF LONDON;J INT RELAT DEV ;directed;1
UNIVERSITY OF LONDON;CONTEMP SECUR POL;directed;4
UNIVERSITY OF LONDON;REV INT ORGAN;directed;10
UNIVERSITY OF LONDON;J PEACE RES;directed;11
UNIVERSITY OF LONDON;CHIN J INT POLIT;directed;4
UNIVERSITY OF LONDON;INT J-TORONTO;directed;2
UNIVERSITY OF LONDON;COMMON MKT LAW REV;directed;10
UNIVERSITY OF LONDON;J CURR SE ASIAN AFF;directed;2
UNIVERSITY OF LONDON;AUST J INT AFF;directed;5
UNIVERSITY OF LONDON;REV BRAS POLIT INT;directed;2
UNIVERSITY OF LONDON;J INT RELAT DEV ;directed;11
UNIVERSITY OF LONDON;CONTEMP SE ASIA;directed;4
UNIVERSITY OF LONDON;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF LONDON;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF LJUBLJANA;J INT RELAT DEV ;directed;1
UNIVERSITY OF LIVERPOOL;INT J-TORONTO;directed;1
UNIVERSITY OF LIVERPOOL;COMMON MKT LAW REV;directed;3
UNIVERSITY OF LIEGE;COMMON MKT LAW REV;directed;2
UNIVERSITY OF LEEDS;J PEACE RES;directed;1
UNIVERSITY OF LEEDS;J INT RELAT DEV ;directed;2
UNIVERSITY OF LEEDS;CONTEMP SE ASIA;directed;2
UNIVERSITY OF LAUSANNE;COMMON MKT LAW REV;directed;1
UNIVERSITY OF LAUSANNE;J INT RELAT DEV ;directed;1
UNIVERSITY OF KONSTANZ;REV INT ORGAN;directed;3
UNIVERSITY OF KONSTANZ;J PEACE RES;directed;3
UNIVERSITY OF KONSTANZ;CHIN J INT POLIT;directed;1
UNIVERSITY OF KOBLENZ & LANDAU;J INT RELAT DEV ;directed;1
UNIVERSITY OF KIEL;CONTEMP SECUR POL;directed;1
UNIVERSITY OF KENTUCKY;J PEACE RES;directed;1
UNIVERSITY OF KENT;CONTEMP SECUR POL;directed;3
UNIVERSITY OF KENT;CHIN J INT POLIT;directed;1
UNIVERSITY OF KENT;J INT RELAT DEV ;directed;3
UNIVERSITY OF KENT;ULUSLAR ILISKILER;directed;1
UNIVERSITY OF KANSAS;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF JOHANNESBURG;J INT RELAT DEV ;directed;1
UNIVERSITY OF IOWA;J PEACE RES;directed;2
UNIVERSITY OF INTERNATIONAL RELATIONS;CHIN J INT POLIT;directed;2
UNIVERSITY OF INTERNATIONAL BUSINESS & ECONOMICS;REV INT ORGAN;directed;1
UNIVERSITY OF INNSBRUCK;CONTEMP SECUR POL;directed;1
UNIVERSITY OF INNSBRUCK;COMMON MKT LAW REV;directed;1
UNIVERSITY OF INNSBRUCK;J INT RELAT DEV ;directed;2
UNIVERSITY OF INDONESIA;J CURR SE ASIAN AFF;directed;3
UNIVERSITY OF INDONESIA;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF ILLINOIS SYSTEM;REV INT ORGAN;directed;2
UNIVERSITY OF ILLINOIS SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF ILLINOIS SYSTEM;CHIN J INT POLIT;directed;1
UNIVERSITY OF HOUSTON SYSTEM;CONTEMP SECUR POL;directed;1
UNIVERSITY OF HOUSTON SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF HONG KONG;COMMON MKT LAW REV;directed;1
UNIVERSITY OF HONG KONG;AUST J INT AFF;directed;1
UNIVERSITY OF HONG KONG;ASIAN PERSPECT-SEOUL;directed;1
UNIVERSITY OF HONG KONG;ASIAN J WTO INT HEAL;directed;1
UNIVERSITY OF HELSINKI;COMMON MKT LAW REV;directed;3
UNIVERSITY OF HAWAII SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF HAMBURG;CONTEMP SECUR POL;directed;1
UNIVERSITY OF HAMBURG;J PEACE RES;directed;2
UNIVERSITY OF HAMBURG;CHIN J INT POLIT;directed;1
UNIVERSITY OF HAMBURG;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF HAMBURG;REV BRAS POLIT INT;directed;1
UNIVERSITY OF HAMBURG;J INT RELAT DEV ;directed;1
UNIVERSITY OF HAIFA;CONTEMP SECUR POL;directed;1
UNIVERSITY OF HAIFA;J PEACE RES;directed;3
UNIVERSITY OF GUELPH;REV INT ORGAN;directed;1
UNIVERSITY OF GUELPH;CONTEMP SE ASIA;directed;1
UNIVERSITY OF GRONINGEN;J PEACE RES;directed;1
UNIVERSITY OF GRONINGEN;COMMON MKT LAW REV;directed;2
UNIVERSITY OF GRONINGEN;J INT RELAT DEV ;directed;1
UNIVERSITY OF GRONINGEN;CONTEMP SE ASIA;directed;1
UNIVERSITY OF GREENWICH;CONTEMP SECUR POL;directed;1
UNIVERSITY OF GRAZ;COMMON MKT LAW REV;directed;1
UNIVERSITY OF GOTTINGEN;REV INT ORGAN;directed;1
UNIVERSITY OF GOTTINGEN;COMMON MKT LAW REV;directed;1
UNIVERSITY OF GOTHENBURG;REV INT ORGAN;directed;1
UNIVERSITY OF GOTHENBURG;J PEACE RES;directed;3
UNIVERSITY OF GOTHENBURG;COMMON MKT LAW REV;directed;1
UNIVERSITY OF GOTHENBURG;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF GOTHENBURG;J INT RELAT DEV ;directed;1
UNIVERSITY OF GLASGOW;REV INT ORGAN;directed;2
UNIVERSITY OF GLASGOW;INT J-TORONTO;directed;1
UNIVERSITY OF GLASGOW;AUST J INT AFF;directed;1
UNIVERSITY OF EXETER;J PEACE RES;directed;1
UNIVERSITY OF EXETER;CHIN J INT POLIT;directed;2
UNIVERSITY OF EXETER;AUST J INT AFF;directed;1
UNIVERSITY OF ESSEX;REV INT ORGAN;directed;2
UNIVERSITY OF ESSEX;J PEACE RES;directed;11
UNIVERSITY OF ESSEX;COMMON MKT LAW REV;directed;2
UNIVERSITY OF ERLANGEN NUREMBERG;REV INT ORGAN;directed;1
UNIVERSITY OF ERLANGEN NUREMBERG;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF ERFURT;CONTEMP SECUR POL;directed;2
UNIVERSITY OF ERFURT;ULUSLAR ILISKILER;directed;2
UNIVERSITY OF EAST ANGLIA;COMMON MKT LAW REV;directed;1
UNIVERSITY OF DUISBURG ESSEN;J INT RELAT DEV ;directed;1
UNIVERSITY OF DUISBURG ESSEN;ULUSLAR ILISKILER;directed;2
UNIVERSITY OF DHAKA;J PEACE RES;directed;1
UNIVERSITY OF DEUSTO;COMMON MKT LAW REV;directed;1
UNIVERSITY OF DEUSTO;REV BRAS POLIT INT;directed;1
UNIVERSITY OF DENVER;J PEACE RES;directed;4
UNIVERSITY OF DENVER;INT J-TORONTO;directed;1
UNIVERSITY OF DELAWARE;CONTEMP SECUR POL;directed;1
UNIVERSITY OF DELAWARE;J PEACE RES;directed;2
UNIVERSITY OF DELAWARE;ASIAN PERSPECT-SEOUL;directed;2
UNIVERSITY OF CYPRUS;COMMON MKT LAW REV;directed;1
UNIVERSITY OF COLORADO SYSTEM;REV INT ORGAN;directed;1
UNIVERSITY OF COLORADO SYSTEM;J PEACE RES;directed;1
UNIVERSITY OF COLORADO SYSTEM;CHIN J INT POLIT;directed;1
UNIVERSITY OF CHICAGO;J PEACE RES;directed;2
UNIVERSITY OF CHICAGO;J CURR SE ASIAN AFF;directed;1
UNIVERSITY OF CHICAGO;ASIAN PERSPECT-SEOUL;directed;2
